name,team,carries,yards,ypc,tds,two_pt,snap_count,snap_percentage,routes_ran,targets,catches,receiving_yards,receiving_tds,air_yards,red_zone_snaps,red_zone_touches,goal_line_2pt_snaps,goal_line_2pt_touches,third_down_snaps,third_down_touches,touch_percentage
Jhurell Pressley,ARI,10,34,3.4,0,0,32,52%,15,4,1,3,0,15,2,0,2,0,6,3,61%
Tim Cook,ARI,3,5,1.7,0,0,8,13%,2,0,0,0,0,0,1,1,1,1,1,1,13%
Justin Stockton,ARI,5,13,2.6,0,0,22,35%,8,1,1,6,0,9,7,1,1,0,4,1,26%
Akeem Hunt,ORL,2,9,4.5,0,0,5,9%,3,1,1,4,0,4,0,0,0,0,1,0,11%
De’Veon Smith,ORL,8,52,6.5,0,0,20,36%,7,0,0,0,0,0,1,1,2,0,4,2,30%
D’Ernest Johnson,ORL,13,79,6.1,1,0,31,55%,10,3,2,18,0,3,5,2,3,2,5,1,59%
Trent Richardson,BIR,17,46,2.7,3,1,43,71%,18,5,3,4,0,-3,11,7,5,4,6,0,69%
Ladarius Perkins,BIR,8,26,3.3,0,0,13,21%,4,0,0,0,0,0,1,1,0,0,2,0,25%
Ty Isaac,BIR,1,3,3,0,0,5,8%,3,1,1,9,0,-5,0,0,1,0,1,1,6%
Kenneth Farrow,SA,9,27,3,0,0,26,44%,8,1,1,-5,0,-5,6,3,1,0,4,2,43%
Trey Williams,SA,7,75,10.7,0,0,21,36%,11,2,2,13,0,1,3,0,0,0,4,2,39%
David Cobb,SA,3,8,2.7,0,0,12,20%,5,1,1,0,0,-3,0,0,0,0,3,0,17%
Joel Bouagnon,SL,12,45,3.8,1,0,24,37%,7,2,1,1,0,8,4,4,3,2,8,6,40%
Branden Oliver,SL,15,40,2.7,1,0,33,51%,8,2,1,-2,0,-2,6,6,5,3,7,2,49%
Terrell Newby,SL,2,4,2,0,0,8,12%,4,2,1,14,0,7,0,0,0,0,2,0,11%
Ja’Quan Gardner,SD,12,122,10.2,1,0,23,43%,9,2,2,21,0,3,1,0,0,0,5,4,50%
Terrell Watson,SD,13,73,5.6,0,2,31,57%,10,1,1,3,0,-5,4,1,5,2,4,0,50%
Zac Stacy,MEM,14,29,2.1,0,0,28,51%,10,5,3,16,0,3,2,2,0,0,5,2,58%
Sherman Badie,MEM,8,59,7.4,0,0,12,22%,4,1,1,16,0,-6,1,1,0,0,1,0,27%
Terrence Magee,MEM,4,28,7,0,0,15,27%,6,1,1,1,0,0,0,0,1,1,5,1,15%
Denard Robinson,ATL,3,7,2.3,0,0,32,51%,16,3,2,-2,0,6,10,3,1,0,9,1,30%
Akrum Wadley,ATL,3,9,3,0,0,15,24%,10,3,3,29,0,-1,2,1,2,0,3,0,30%
Lawrence Pittman,ATL,5,6,1.2,0,0,16,25%,7,3,2,10,0,7,4,2,4,2,1,0,40%